   0.90561:    0.14665450 x 10^(-38) cm2
   0.91888:    0.15154869 x 10^(-38) cm2
   0.93235:    0.15658359 x 10^(-38) cm2
   0.94601:    0.16176234 x 10^(-38) cm2
   0.95987:    0.16708746 x 10^(-38) cm2
   0.97394:    0.17255837 x 10^(-38) cm2
   0.98821:    0.17817389 x 10^(-38) cm2
   1.00270:    0.18393262 x 10^(-38) cm2
   1.01740:    0.18983308 x 10^(-38) cm2
   1.03230:    0.19587527 x 10^(-38) cm2
   1.04740:    0.20206374 x 10^(-38) cm2
   1.06280:    0.20840682 x 10^(-38) cm2
   1.07830:    0.21491348 x 10^(-38) cm2
   1.09420:    0.22159189 x 10^(-38) cm2
   1.11020:    0.22844525 x 10^(-38) cm2
   1.12650:    0.23547408 x 10^(-38) cm2
   1.14300:    0.24267601 x 10^(-38) cm2
   1.15970:    0.25004672 x 10^(-38) cm2
   1.17670:    0.25758180 x 10^(-38) cm2
   1.19400:    0.26528040 x 10^(-38) cm2
   1.21150:    0.27314377 x 10^(-38) cm2
   1.22920:    0.28117290 x 10^(-38) cm2
   1.24720:    0.28936743 x 10^(-38) cm2
   1.26550:    0.29772660 x 10^(-38) cm2
   1.28400:    0.30624946 x 10^(-38) cm2
   1.30290:    0.31493429 x 10^(-38) cm2
   1.32200:    0.32377910 x 10^(-38) cm2
   1.34130:    0.33278212 x 10^(-38) cm2
   1.36100:    0.34194231 x 10^(-38) cm2
   1.38090:    0.35126056 x 10^(-38) cm2
   1.40120:    0.36074032 x 10^(-38) cm2
   1.42170:    0.37038534 x 10^(-38) cm2
   1.44250:    0.38019974 x 10^(-38) cm2
   1.46370:    0.39019113 x 10^(-38) cm2
   1.48510:    0.40036436 x 10^(-38) cm2
   1.50690:    0.41071582 x 10^(-38) cm2
   1.52900:    0.42124049 x 10^(-38) cm2
   1.55140:    0.43193242 x 10^(-38) cm2
   1.57410:    0.44278360 x 10^(-38) cm2
   1.59720:    0.45378880 x 10^(-38) cm2
   1.62060:    0.46495941 x 10^(-38) cm2
   1.64430:    0.47631006 x 10^(-38) cm2
   1.66840:    0.48785678 x 10^(-38) cm2
   1.69290:    0.49961701 x 10^(-38) cm2
   1.71770:    0.51160643 x 10^(-38) cm2
   1.74290:    0.52383597 x 10^(-38) cm2
   1.76840:    0.53631557 x 10^(-38) cm2
   1.79430:    0.54905539 x 10^(-38) cm2
   1.82060:    0.56206551 x 10^(-38) cm2
   1.84730:    0.57533605 x 10^(-38) cm2
   1.87440:    0.58882377 x 10^(-38) cm2
   1.90180:    0.60247528 x 10^(-38) cm2
   1.92970:    0.61623190 x 10^(-38) cm2
   1.95800:    0.62976828 x 10^(-38) cm2
   1.98670:    0.64358221 x 10^(-38) cm2
   2.01580:    0.65748432 x 10^(-38) cm2
   2.04530:    0.67156119 x 10^(-38) cm2
   2.07530:    0.68591124 x 10^(-38) cm2
   2.10570:    0.70064061 x 10^(-38) cm2
   2.13660:    0.71580592 x 10^(-38) cm2
   2.16790:    0.73135525 x 10^(-38) cm2
   2.19970:    0.74720906 x 10^(-38) cm2
   2.23190:    0.76327224 x 10^(-38) cm2
   2.26460:    0.77943935 x 10^(-38) cm2
   2.29780:    0.79564811 x 10^(-38) cm2
   2.33150:    0.81194198 x 10^(-38) cm2
   2.36560:    0.82840390 x 10^(-38) cm2
   2.40030:    0.84512982 x 10^(-38) cm2
   2.43550:    0.86222731 x 10^(-38) cm2
   2.47120:    0.87979500 x 10^(-38) cm2
   2.50740:    0.89789256 x 10^(-38) cm2
   2.54410:    0.91653812 x 10^(-38) cm2
   2.58140:    0.93573883 x 10^(-38) cm2
   2.61920:    0.95550500 x 10^(-38) cm2
   2.65760:    0.97580458 x 10^(-38) cm2
   2.69660:    0.99650714 x 10^(-38) cm2
   2.73610:    1.01749658 x 10^(-38) cm2
   2.77620:    1.03866533 x 10^(-38) cm2
   2.81690:    1.05989448 x 10^(-38) cm2
   2.85820:    1.08108790 x 10^(-38) cm2
   2.90000:    1.10223909 x 10^(-38) cm2
   2.94250:    1.12334178 x 10^(-38) cm2
   2.98570:    1.14437818 x 10^(-38) cm2
   3.02940:    1.16532978 x 10^(-38) cm2
   3.07380:    1.18624451 x 10^(-38) cm2
   3.11890:    1.20734080 x 10^(-38) cm2
   3.16460:    1.22887274 x 10^(-38) cm2
   3.21090:    1.25110423 x 10^(-38) cm2
   3.25800:    1.27432038 x 10^(-38) cm2
   3.30570:    1.29867452 x 10^(-38) cm2
   3.35420:    1.32392619 x 10^(-38) cm2
   3.40330:    1.34975000 x 10^(-38) cm2
   3.45320:    1.37581503 x 10^(-38) cm2
   3.50380:    1.40176429 x 10^(-38) cm2
   3.55520:    1.42737413 x 10^(-38) cm2
   3.60730:    1.45284989 x 10^(-38) cm2
   3.66010:    1.47849619 x 10^(-38) cm2
   3.71380:    1.50464662 x 10^(-38) cm2
   3.76820:    1.53166384 x 10^(-38) cm2
   3.82340:    1.55980144 x 10^(-38) cm2
   3.87950:    1.58892922 x 10^(-38) cm2
   3.93630:    1.61883101 x 10^(-38) cm2
   3.99400:    1.64926404 x 10^(-38) cm2
   4.05250:    1.67995823 x 10^(-38) cm2
   4.11190:    1.71067485 x 10^(-38) cm2
   4.17220:    1.74132638 x 10^(-38) cm2
   4.23330:    1.77168526 x 10^(-38) cm2
   4.29530:    1.80198177 x 10^(-38) cm2
   4.35830:    1.83194194 x 10^(-38) cm2
   4.42220:    1.86153561 x 10^(-38) cm2
   4.48700:    1.89109198 x 10^(-38) cm2
   4.55270:    1.92104520 x 10^(-38) cm2
   4.61940:    1.95187432 x 10^(-38) cm2
   4.68710:    1.98414305 x 10^(-38) cm2
   4.75580:    2.01829154 x 10^(-38) cm2
   4.82550:    2.05406516 x 10^(-38) cm2
   4.89620:    2.09102459 x 10^(-38) cm2
   4.96800:    2.12870158 x 10^(-38) cm2
   5.04080:    2.16660662 x 10^(-38) cm2
   5.11470:    2.20427191 x 10^(-38) cm2
   5.18960:    2.24156674 x 10^(-38) cm2
   5.26570:    2.27844275 x 10^(-38) cm2
   5.34280:    2.31482419 x 10^(-38) cm2
   5.42110:    2.35054261 x 10^(-38) cm2
   5.50060:    2.38554465 x 10^(-38) cm2
   5.58120:    2.42033487 x 10^(-38) cm2
   5.66300:    2.45559805 x 10^(-38) cm2
   5.74600:    2.49210382 x 10^(-38) cm2
   5.83020:    2.53083732 x 10^(-38) cm2
   5.91560:    2.57259784 x 10^(-38) cm2
   6.00230:    2.61687704 x 10^(-38) cm2
   6.09030:    2.66270856 x 10^(-38) cm2
   6.17950:    2.70901565 x 10^(-38) cm2
   6.27010:    2.75444902 x 10^(-38) cm2
   6.36200:    2.79780110 x 10^(-38) cm2
   6.45520:    2.83938551 x 10^(-38) cm2
   6.54980:    2.88005338 x 10^(-38) cm2
   6.64580:    2.92078907 x 10^(-38) cm2
   6.74320:    2.96281769 x 10^(-38) cm2
   6.84200:    3.00730280 x 10^(-38) cm2
   6.94230:    3.05399775 x 10^(-38) cm2
   7.04400:    3.10217805 x 10^(-38) cm2
   7.14720:    3.15099127 x 10^(-38) cm2
   7.25200:    3.19935646 x 10^(-38) cm2
   7.35830:    3.24620260 x 10^(-38) cm2
   7.46610:    3.29197325 x 10^(-38) cm2
