   0.90297:    0.69579173 x 10^(-38) cm2
   0.91621:    0.71842682 x 10^(-38) cm2
   0.92964:    0.74090683 x 10^(-38) cm2
   0.94328:    0.76563287 x 10^(-38) cm2
   0.95711:    0.79020425 x 10^(-38) cm2
   0.97114:    0.81354060 x 10^(-38) cm2
   0.98538:    0.83904258 x 10^(-38) cm2
   0.99983:    0.86539260 x 10^(-38) cm2
   1.01450:    0.89100263 x 10^(-38) cm2
   1.02940:    0.91957770 x 10^(-38) cm2
   1.04450:    0.94806563 x 10^(-38) cm2
   1.05980:    0.97727772 x 10^(-38) cm2
   1.07530:    1.00659827 x 10^(-38) cm2
   1.09110:    1.03600528 x 10^(-38) cm2
   1.10710:    1.06808769 x 10^(-38) cm2
   1.12330:    1.09924991 x 10^(-38) cm2
   1.13980:    1.13294519 x 10^(-38) cm2
   1.15650:    1.16638792 x 10^(-38) cm2
   1.17340:    1.20154838 x 10^(-38) cm2
   1.19070:    1.23361048 x 10^(-38) cm2
   1.20810:    1.27052753 x 10^(-38) cm2
   1.22580:    1.30636464 x 10^(-38) cm2
   1.24380:    1.34072160 x 10^(-38) cm2
   1.26200:    1.37784675 x 10^(-38) cm2
   1.28050:    1.41667345 x 10^(-38) cm2
   1.29930:    1.45461383 x 10^(-38) cm2
   1.31840:    1.49160752 x 10^(-38) cm2
   1.33770:    1.53273124 x 10^(-38) cm2
   1.35730:    1.57243994 x 10^(-38) cm2
   1.37720:    1.61394181 x 10^(-38) cm2
   1.39740:    1.65387163 x 10^(-38) cm2
   1.41790:    1.69607945 x 10^(-38) cm2
   1.43870:    1.73756344 x 10^(-38) cm2
   1.45980:    1.78042807 x 10^(-38) cm2
   1.48120:    1.82223381 x 10^(-38) cm2
   1.50290:    1.87111133 x 10^(-38) cm2
   1.52490:    1.91328961 x 10^(-38) cm2
   1.54730:    1.95721951 x 10^(-38) cm2
   1.57000:    2.00260924 x 10^(-38) cm2
   1.59300:    2.04743970 x 10^(-38) cm2
