   0.90561:    6.68143517 x 10^(-38) cm2
   0.91888:    6.85942558 x 10^(-38) cm2
   0.93235:    7.04078745 x 10^(-38) cm2
   0.94601:    7.22101490 x 10^(-38) cm2
   0.95987:    7.40525109 x 10^(-38) cm2
   0.97394:    7.60235801 x 10^(-38) cm2
   0.98821:    7.79398601 x 10^(-38) cm2
   1.00270:    7.99923945 x 10^(-38) cm2
   1.01740:    8.20513754 x 10^(-38) cm2
   1.03230:    8.40832714 x 10^(-38) cm2
   1.04740:    8.62217459 x 10^(-38) cm2
   1.06280:    8.82295071 x 10^(-38) cm2
   1.07830:    9.04775634 x 10^(-38) cm2
   1.09420:    9.26945103 x 10^(-38) cm2
   1.11020:    9.50163020 x 10^(-38) cm2
   1.12650:    9.73437188 x 10^(-38) cm2
   1.14300:    9.98423795 x 10^(-38) cm2
   1.15970:   10.22451474 x 10^(-38) cm2
   1.17670:   10.47458467 x 10^(-38) cm2
   1.19400:   10.72290992 x 10^(-38) cm2
   1.21150:   10.97796046 x 10^(-38) cm2
   1.22920:   11.21805042 x 10^(-38) cm2
   1.24720:   11.47633350 x 10^(-38) cm2
   1.26550:   11.74849028 x 10^(-38) cm2
   1.28400:   12.00399072 x 10^(-38) cm2
   1.30290:   12.27739992 x 10^(-38) cm2
   1.32200:   12.55596072 x 10^(-38) cm2
   1.34130:   12.82514845 x 10^(-38) cm2
   1.36100:   13.10982740 x 10^(-38) cm2
   1.38090:   13.39307764 x 10^(-38) cm2
   1.40120:   13.68665311 x 10^(-38) cm2
   1.42170:   13.97428170 x 10^(-38) cm2
   1.44250:   14.26142908 x 10^(-38) cm2
   1.46370:   14.56639519 x 10^(-38) cm2
   1.48510:   14.87237342 x 10^(-38) cm2
   1.50690:   15.17842972 x 10^(-38) cm2
   1.52900:   15.49228784 x 10^(-38) cm2
   1.55140:   15.81941255 x 10^(-38) cm2
   1.57410:   16.11892233 x 10^(-38) cm2
   1.59720:   16.44301033 x 10^(-38) cm2
   1.62060:   16.75484750 x 10^(-38) cm2
   1.64430:   17.06776031 x 10^(-38) cm2
   1.66840:   17.38344692 x 10^(-38) cm2
   1.69290:   17.75071773 x 10^(-38) cm2
   1.71770:   18.07419712 x 10^(-38) cm2
