   0.90297:    0.14939594 x 10^(-38) cm2
   0.91621:    0.15367356 x 10^(-38) cm2
   0.92964:    0.15804418 x 10^(-38) cm2
   0.94328:    0.16251514 x 10^(-38) cm2
   0.95711:    0.16708807 x 10^(-38) cm2
   0.97114:    0.17175822 x 10^(-38) cm2
   0.98538:    0.17652000 x 10^(-38) cm2
   0.99983:    0.18136717 x 10^(-38) cm2
   1.01450:    0.18629200 x 10^(-38) cm2
   1.02940:    0.19129738 x 10^(-38) cm2
   1.04450:    0.19640080 x 10^(-38) cm2
   1.05980:    0.20162187 x 10^(-38) cm2
   1.07530:    0.20698182 x 10^(-38) cm2
   1.09110:    0.21250233 x 10^(-38) cm2
   1.10710:    0.21818439 x 10^(-38) cm2
   1.12330:    0.22400560 x 10^(-38) cm2
   1.13980:    0.22994018 x 10^(-38) cm2
   1.15650:    0.23595982 x 10^(-38) cm2
   1.17340:    0.24203435 x 10^(-38) cm2
   1.19070:    0.24815045 x 10^(-38) cm2
   1.20810:    0.25431544 x 10^(-38) cm2
   1.22580:    0.26053846 x 10^(-38) cm2
   1.24380:    0.26682949 x 10^(-38) cm2
   1.26200:    0.27319937 x 10^(-38) cm2
   1.28050:    0.27965383 x 10^(-38) cm2
   1.29930:    0.28619027 x 10^(-38) cm2
   1.31840:    0.29280518 x 10^(-38) cm2
   1.33770:    0.29949470 x 10^(-38) cm2
   1.35730:    0.30625478 x 10^(-38) cm2
   1.37720:    0.31308671 x 10^(-38) cm2
   1.39740:    0.31999848 x 10^(-38) cm2
   1.41790:    0.32699911 x 10^(-38) cm2
   1.43870:    0.33409843 x 10^(-38) cm2
   1.45980:    0.34130687 x 10^(-38) cm2
   1.48120:    0.34862247 x 10^(-38) cm2
   1.50290:    0.35602242 x 10^(-38) cm2
   1.52490:    0.36348002 x 10^(-38) cm2
   1.54730:    0.37096618 x 10^(-38) cm2
   1.57000:    0.37844963 x 10^(-38) cm2
   1.59300:    0.38591821 x 10^(-38) cm2
   1.61640:    0.39339766 x 10^(-38) cm2
   1.64010:    0.40092096 x 10^(-38) cm2
   1.66410:    0.40852420 x 10^(-38) cm2
   1.68850:    0.41624632 x 10^(-38) cm2
   1.71330:    0.42410403 x 10^(-38) cm2
   1.73840:    0.43206888 x 10^(-38) cm2
   1.76390:    0.44010318 x 10^(-38) cm2
   1.78980:    0.44816590 x 10^(-38) cm2
   1.81600:    0.45621295 x 10^(-38) cm2
   1.84260:    0.46422844 x 10^(-38) cm2
   1.86960:    0.47225471 x 10^(-38) cm2
   1.89710:    0.48034851 x 10^(-38) cm2
   1.92490:    0.48857200 x 10^(-38) cm2
   1.95310:    0.49699240 x 10^(-38) cm2
   1.98170:    0.50564547 x 10^(-38) cm2
   2.01080:    0.51448904 x 10^(-38) cm2
   2.04030:    0.52345175 x 10^(-38) cm2
   2.07020:    0.53245489 x 10^(-38) cm2
   2.10050:    0.54141316 x 10^(-38) cm2
   2.13130:    0.55026624 x 10^(-38) cm2
   2.16260:    0.55902319 x 10^(-38) cm2
   2.19430:    0.56772882 x 10^(-38) cm2
   2.22650:    0.57643493 x 10^(-38) cm2
   2.25910:    0.58519813 x 10^(-38) cm2
   2.29230:    0.59405895 x 10^(-38) cm2
   2.32590:    0.60301539 x 10^(-38) cm2
   2.36000:    0.61204261 x 10^(-38) cm2
   2.39460:    0.62111051 x 10^(-38) cm2
   2.42970:    0.63018668 x 10^(-38) cm2
   2.46530:    0.63927065 x 10^(-38) cm2
   2.50150:    0.64843081 x 10^(-38) cm2
   2.53810:    0.65775492 x 10^(-38) cm2
   2.57540:    0.66734018 x 10^(-38) cm2
   2.61310:    0.67729166 x 10^(-38) cm2
   2.65140:    0.68764164 x 10^(-38) cm2
   2.69030:    0.69825518 x 10^(-38) cm2
   2.72980:    0.70895239 x 10^(-38) cm2
   2.76980:    0.71953111 x 10^(-38) cm2
   2.81040:    0.72977176 x 10^(-38) cm2
   2.85160:    0.73954623 x 10^(-38) cm2
   2.89340:    0.74895665 x 10^(-38) cm2
   2.93580:    0.75815913 x 10^(-38) cm2
   2.97890:    0.76733503 x 10^(-38) cm2
   3.02260:    0.77668250 x 10^(-38) cm2
   3.06690:    0.78635338 x 10^(-38) cm2
   3.11190:    0.79636547 x 10^(-38) cm2
   3.15750:    0.80670889 x 10^(-38) cm2
   3.20380:    0.81736086 x 10^(-38) cm2
   3.25080:    0.82829501 x 10^(-38) cm2
   3.29840:    0.83946138 x 10^(-38) cm2
   3.34680:    0.85075517 x 10^(-38) cm2
   3.39590:    0.86206373 x 10^(-38) cm2
   3.44570:    0.87328605 x 10^(-38) cm2
   3.49620:    0.88431553 x 10^(-38) cm2
   3.54740:    0.89511868 x 10^(-38) cm2
   3.59950:    0.90587046 x 10^(-38) cm2
   3.65220:    0.91678251 x 10^(-38) cm2
   3.70580:    0.92803346 x 10^(-38) cm2
   3.76010:    0.93980400 x 10^(-38) cm2
   3.81530:    0.95218908 x 10^(-38) cm2
   3.87120:    0.96501700 x 10^(-38) cm2
   3.92800:    0.97806318 x 10^(-38) cm2
   3.98560:    0.99115312 x 10^(-38) cm2
