   0.90297:    0.69590587 x 10^(-38) cm2
   0.91621:    0.71941974 x 10^(-38) cm2
   0.92964:    0.74190438 x 10^(-38) cm2
   0.94328:    0.76559896 x 10^(-38) cm2
   0.95711:    0.78998689 x 10^(-38) cm2
   0.97114:    0.81355973 x 10^(-38) cm2
   0.98538:    0.83899624 x 10^(-38) cm2
   0.99983:    0.86669604 x 10^(-38) cm2
   1.01450:    0.89191228 x 10^(-38) cm2
   1.02940:    0.91990433 x 10^(-38) cm2
   1.04450:    0.94779324 x 10^(-38) cm2
   1.05980:    0.97663940 x 10^(-38) cm2
   1.07530:    1.00583895 x 10^(-38) cm2
   1.09110:    1.03703891 x 10^(-38) cm2
   1.10710:    1.06972330 x 10^(-38) cm2
   1.12330:    1.09947553 x 10^(-38) cm2
   1.13980:    1.13330808 x 10^(-38) cm2
   1.15650:    1.16623114 x 10^(-38) cm2
   1.17340:    1.19950562 x 10^(-38) cm2
   1.19070:    1.23564772 x 10^(-38) cm2
   1.20810:    1.27036699 x 10^(-38) cm2
   1.22580:    1.30770349 x 10^(-38) cm2
   1.24380:    1.34159591 x 10^(-38) cm2
   1.26200:    1.37801381 x 10^(-38) cm2
   1.28050:    1.41743960 x 10^(-38) cm2
   1.29930:    1.45398864 x 10^(-38) cm2
   1.31840:    1.49342555 x 10^(-38) cm2
   1.33770:    1.53340082 x 10^(-38) cm2
   1.35730:    1.57218714 x 10^(-38) cm2
   1.37720:    1.61340174 x 10^(-38) cm2
   1.39740:    1.65342615 x 10^(-38) cm2
   1.41790:    1.69639678 x 10^(-38) cm2
   1.43870:    1.73869607 x 10^(-38) cm2
   1.45980:    1.78276879 x 10^(-38) cm2
   1.48120:    1.82530731 x 10^(-38) cm2
   1.50290:    1.87144110 x 10^(-38) cm2
   1.52490:    1.91146938 x 10^(-38) cm2
   1.54730:    1.95830515 x 10^(-38) cm2
   1.57000:    2.00399708 x 10^(-38) cm2
   1.59300:    2.05001544 x 10^(-38) cm2
   1.61640:    2.09439788 x 10^(-38) cm2
   1.64010:    2.14014533 x 10^(-38) cm2
   1.66410:    2.18715239 x 10^(-38) cm2
   1.68850:    2.23796655 x 10^(-38) cm2
   1.71330:    2.28201798 x 10^(-38) cm2
   1.73840:    2.33321964 x 10^(-38) cm2
   1.76390:    2.38270658 x 10^(-38) cm2
   1.78980:    2.43309601 x 10^(-38) cm2
   1.81600:    2.47909385 x 10^(-38) cm2
   1.84260:    2.53087050 x 10^(-38) cm2
   1.86960:    2.57894320 x 10^(-38) cm2
   1.89710:    2.63129922 x 10^(-38) cm2
   1.92490:    2.67937477 x 10^(-38) cm2
   1.95310:    2.73201469 x 10^(-38) cm2
   1.98170:    2.78739105 x 10^(-38) cm2
   2.01080:    2.84185682 x 10^(-38) cm2
   2.04030:    2.89599759 x 10^(-38) cm2
   2.07020:    2.95109786 x 10^(-38) cm2
   2.10050:    3.00751536 x 10^(-38) cm2
   2.13130:    3.06189638 x 10^(-38) cm2
   2.16260:    3.11838962 x 10^(-38) cm2
   2.19430:    3.17722326 x 10^(-38) cm2
   2.22650:    3.23134196 x 10^(-38) cm2
   2.25910:    3.28666643 x 10^(-38) cm2
   2.29230:    3.34365585 x 10^(-38) cm2
   2.32590:    3.40237529 x 10^(-38) cm2
