   0.90297:    0.06769574 x 10^(-38) cm2
   0.91621:    0.06970106 x 10^(-38) cm2
   0.92964:    0.07175070 x 10^(-38) cm2
   0.94328:    0.07384601 x 10^(-38) cm2
   0.95711:    0.07598765 x 10^(-38) cm2
   0.97114:    0.07817539 x 10^(-38) cm2
   0.98538:    0.08040887 x 10^(-38) cm2
   0.99983:    0.08268765 x 10^(-38) cm2
   1.01450:    0.08501111 x 10^(-38) cm2
   1.02940:    0.08738000 x 10^(-38) cm2
   1.04450:    0.08979681 x 10^(-38) cm2
   1.05980:    0.09226427 x 10^(-38) cm2
   1.07530:    0.09478531 x 10^(-38) cm2
   1.09110:    0.09736260 x 10^(-38) cm2
   1.10710:    0.09999557 x 10^(-38) cm2
   1.12330:    0.10268094 x 10^(-38) cm2
   1.13980:    0.10541493 x 10^(-38) cm2
   1.15650:    0.10819336 x 10^(-38) cm2
   1.17340:    0.11101188 x 10^(-38) cm2
   1.19070:    0.11386885 x 10^(-38) cm2
   1.20810:    0.11676523 x 10^(-38) cm2
   1.22580:    0.11970220 x 10^(-38) cm2
   1.24380:    0.12268100 x 10^(-38) cm2
   1.26200:    0.12570293 x 10^(-38) cm2
   1.28050:    0.12876794 x 10^(-38) cm2
   1.29930:    0.13187406 x 10^(-38) cm2
   1.31840:    0.13501905 x 10^(-38) cm2
   1.33770:    0.13820042 x 10^(-38) cm2
   1.35730:    0.14141554 x 10^(-38) cm2
   1.37720:    0.14466441 x 10^(-38) cm2
   1.39740:    0.14795048 x 10^(-38) cm2
   1.41790:    0.15127767 x 10^(-38) cm2
   1.43870:    0.15465027 x 10^(-38) cm2
   1.45980:    0.15807281 x 10^(-38) cm2
   1.48120:    0.16154472 x 10^(-38) cm2
   1.50290:    0.16505735 x 10^(-38) cm2
   1.52490:    0.16860061 x 10^(-38) cm2
   1.54730:    0.17216352 x 10^(-38) cm2
   1.57000:    0.17573431 x 10^(-38) cm2
   1.59300:    0.17931001 x 10^(-38) cm2
   1.61640:    0.18290309 x 10^(-38) cm2
   1.64010:    0.18652873 x 10^(-38) cm2
   1.66410:    0.19020352 x 10^(-38) cm2
   1.68850:    0.19394525 x 10^(-38) cm2
   1.71330:    0.19775828 x 10^(-38) cm2
   1.73840:    0.20162387 x 10^(-38) cm2
   1.76390:    0.20551928 x 10^(-38) cm2
   1.78980:    0.20941970 x 10^(-38) cm2
   1.81600:    0.21329851 x 10^(-38) cm2
   1.84260:    0.21714807 x 10^(-38) cm2
   1.86960:    0.22099500 x 10^(-38) cm2
   1.89710:    0.22487211 x 10^(-38) cm2
   1.92490:    0.22881525 x 10^(-38) cm2
   1.95310:    0.23286310 x 10^(-38) cm2
