   0.90297:    0.06771228 x 10^(-38) cm2
   0.91621:    0.06971794 x 10^(-38) cm2
   0.92964:    0.07176791 x 10^(-38) cm2
   0.94328:    0.07386357 x 10^(-38) cm2
   0.95711:    0.07600556 x 10^(-38) cm2
   0.97114:    0.07819366 x 10^(-38) cm2
   0.98538:    0.08042750 x 10^(-38) cm2
   0.99983:    0.08270665 x 10^(-38) cm2
   1.01450:    0.08503050 x 10^(-38) cm2
   1.02940:    0.08739978 x 10^(-38) cm2
   1.04450:    0.08981698 x 10^(-38) cm2
   1.05980:    0.09228485 x 10^(-38) cm2
   1.07530:    0.09480629 x 10^(-38) cm2
   1.09110:    0.09738400 x 10^(-38) cm2
   1.10710:    0.10001741 x 10^(-38) cm2
   1.12330:    0.10270321 x 10^(-38) cm2
   1.13980:    0.10543765 x 10^(-38) cm2
   1.15650:    0.10821653 x 10^(-38) cm2
   1.17340:    0.11103552 x 10^(-38) cm2
   1.19070:    0.11389296 x 10^(-38) cm2
   1.20810:    0.11678982 x 10^(-38) cm2
   1.22580:    0.11972728 x 10^(-38) cm2
   1.24380:    0.12270658 x 10^(-38) cm2
   1.26200:    0.12572903 x 10^(-38) cm2
   1.28050:    0.12879456 x 10^(-38) cm2
   1.29930:    0.13190122 x 10^(-38) cm2
   1.31840:    0.13504675 x 10^(-38) cm2
   1.33770:    0.13822867 x 10^(-38) cm2
   1.35730:    0.14144436 x 10^(-38) cm2
   1.37720:    0.14469381 x 10^(-38) cm2
   1.39740:    0.14798046 x 10^(-38) cm2
   1.41790:    0.15130825 x 10^(-38) cm2
   1.43870:    0.15468147 x 10^(-38) cm2
   1.45980:    0.15810464 x 10^(-38) cm2
   1.48120:    0.16157718 x 10^(-38) cm2
   1.50290:    0.16509046 x 10^(-38) cm2
   1.52490:    0.16863439 x 10^(-38) cm2
   1.54730:    0.17219797 x 10^(-38) cm2
   1.57000:    0.17576945 x 10^(-38) cm2
   1.59300:    0.17934585 x 10^(-38) cm2
   1.61640:    0.18293965 x 10^(-38) cm2
   1.64010:    0.18656603 x 10^(-38) cm2
   1.66410:    0.19024157 x 10^(-38) cm2
   1.68850:    0.19398405 x 10^(-38) cm2
   1.71330:    0.19779786 x 10^(-38) cm2
   1.73840:    0.20166424 x 10^(-38) cm2
   1.76390:    0.20556046 x 10^(-38) cm2
   1.78980:    0.20946171 x 10^(-38) cm2
   1.81600:    0.21334136 x 10^(-38) cm2
   1.84260:    0.21719177 x 10^(-38) cm2
   1.86960:    0.22103958 x 10^(-38) cm2
   1.89710:    0.22491759 x 10^(-38) cm2
   1.92490:    0.22886163 x 10^(-38) cm2
   1.95310:    0.23291042 x 10^(-38) cm2
   1.98170:    0.23708342 x 10^(-38) cm2
   2.01080:    0.24136116 x 10^(-38) cm2
   2.04030:    0.24571568 x 10^(-38) cm2
   2.07020:    0.25011621 x 10^(-38) cm2
   2.10050:    0.25452930 x 10^(-38) cm2
   2.13130:    0.25893098 x 10^(-38) cm2
   2.16260:    0.26331994 x 10^(-38) cm2
   2.19430:    0.26770175 x 10^(-38) cm2
   2.22650:    0.27208302 x 10^(-38) cm2
   2.25910:    0.27647105 x 10^(-38) cm2
   2.29230:    0.28087505 x 10^(-38) cm2
   2.32590:    0.28530619 x 10^(-38) cm2
   2.36000:    0.28977386 x 10^(-38) cm2
   2.39460:    0.29428782 x 10^(-38) cm2
   2.42970:    0.29885868 x 10^(-38) cm2
   2.46530:    0.30350187 x 10^(-38) cm2
   2.50150:    0.30824235 x 10^(-38) cm2
   2.53810:    0.31311084 x 10^(-38) cm2
   2.57540:    0.31814144 x 10^(-38) cm2
   2.61310:    0.32337080 x 10^(-38) cm2
   2.65140:    0.32880392 x 10^(-38) cm2
   2.69030:    0.33437390 x 10^(-38) cm2
   2.72980:    0.33999246 x 10^(-38) cm2
   2.76980:    0.34555997 x 10^(-38) cm2
   2.81040:    0.35096824 x 10^(-38) cm2
   2.85160:    0.35615522 x 10^(-38) cm2
   2.89340:    0.36117490 x 10^(-38) cm2
   2.93580:    0.36610780 x 10^(-38) cm2
   2.97890:    0.37104659 x 10^(-38) cm2
   3.02260:    0.37609247 x 10^(-38) cm2
   3.06690:    0.38132416 x 10^(-38) cm2
   3.11190:    0.38675479 x 10^(-38) cm2
   3.15750:    0.39238479 x 10^(-38) cm2
   3.20380:    0.39818032 x 10^(-38) cm2
   3.25080:    0.40419596 x 10^(-38) cm2
   3.29840:    0.41038021 x 10^(-38) cm2
   3.34680:    0.41667862 x 10^(-38) cm2
   3.39590:    0.42303230 x 10^(-38) cm2
   3.44570:    0.42938984 x 10^(-38) cm2
   3.49620:    0.43569714 x 10^(-38) cm2
   3.54740:    0.44193567 x 10^(-38) cm2
   3.59950:    0.44818873 x 10^(-38) cm2
   3.65220:    0.45455561 x 10^(-38) cm2
   3.70580:    0.46111193 x 10^(-38) cm2
   3.76010:    0.46792953 x 10^(-38) cm2
   3.81530:    0.47504388 x 10^(-38) cm2
   3.87120:    0.48237055 x 10^(-38) cm2
   3.92800:    0.48980128 x 10^(-38) cm2
   3.98560:    0.49726270 x 10^(-38) cm2
   4.04400:    0.50469489 x 10^(-38) cm2
   4.10330:    0.51205405 x 10^(-38) cm2
   4.16350:    0.51935390 x 10^(-38) cm2
   4.22450:    0.52661796 x 10^(-38) cm2
   4.28640:    0.53383553 x 10^(-38) cm2
   4.34930:    0.54096771 x 10^(-38) cm2
   4.41310:    0.54800549 x 10^(-38) cm2
   4.47780:    0.55504190 x 10^(-38) cm2
   4.54340:    0.56219839 x 10^(-38) cm2
   4.61010:    0.56962284 x 10^(-38) cm2
   4.67760:    0.57749518 x 10^(-38) cm2
   4.74620:    0.58594100 x 10^(-38) cm2
   4.81580:    0.59486785 x 10^(-38) cm2
   4.88640:    0.60412799 x 10^(-38) cm2
   4.95810:    0.61355807 x 10^(-38) cm2
   5.03080:    0.62297644 x 10^(-38) cm2
   5.10460:    0.63222874 x 10^(-38) cm2
   5.17940:    0.64129715 x 10^(-38) cm2
   5.25530:    0.65019478 x 10^(-38) cm2
   5.33240:    0.65893680 x 10^(-38) cm2
   5.41060:    0.66754140 x 10^(-38) cm2
   5.48990:    0.67605614 x 10^(-38) cm2
   5.57040:    0.68463090 x 10^(-38) cm2
   5.65210:    0.69345125 x 10^(-38) cm2
   5.73500:    0.70271566 x 10^(-38) cm2
   5.81910:    0.71261693 x 10^(-38) cm2
   5.90440:    0.72327002 x 10^(-38) cm2
   5.99100:    0.73447236 x 10^(-38) cm2
   6.07880:    0.74592362 x 10^(-38) cm2
   6.16790:    0.75729883 x 10^(-38) cm2
   6.25840:    0.76828106 x 10^(-38) cm2
   6.35010:    0.77864961 x 10^(-38) cm2
   6.44330:    0.78856904 x 10^(-38) cm2
   6.53770:    0.79832267 x 10^(-38) cm2
   6.63360:    0.80821943 x 10^(-38) cm2
   6.73090:    0.81857520 x 10^(-38) cm2
   6.82950:    0.82962594 x 10^(-38) cm2
   6.92970:    0.84126116 x 10^(-38) cm2
   7.03130:    0.85326073 x 10^(-38) cm2
   7.13440:    0.86540069 x 10^(-38) cm2
   7.23900:    0.87738344 x 10^(-38) cm2
   7.34510:    0.88902834 x 10^(-38) cm2
   7.45280:    0.90049968 x 10^(-38) cm2
   7.56210:    0.91208608 x 10^(-38) cm2
   7.67300:    0.92410245 x 10^(-38) cm2
   7.78550:    0.93689182 x 10^(-38) cm2
   7.89970:    0.95072756 x 10^(-38) cm2
   8.01550:    0.96542138 x 10^(-38) cm2
   8.13300:    0.98061934 x 10^(-38) cm2
   8.25230:    0.99593425 x 10^(-38) cm2
   8.37330:    1.01094305 x 10^(-38) cm2
   8.49610:    1.02526976 x 10^(-38) cm2
   8.62060:    1.03895411 x 10^(-38) cm2
   8.74700:    1.05218529 x 10^(-38) cm2
   8.87530:    1.06517113 x 10^(-38) cm2
   9.00540:    1.07814315 x 10^(-38) cm2
   9.13750:    1.09136473 x 10^(-38) cm2
   9.27150:    1.10498994 x 10^(-38) cm2
   9.40740:    1.11913360 x 10^(-38) cm2
   9.54530:    1.13391997 x 10^(-38) cm2
   9.68530:    1.14947976 x 10^(-38) cm2
   9.82730:    1.16584876 x 10^(-38) cm2
   9.97140:    1.18281686 x 10^(-38) cm2
  10.11800:    1.20008768 x 10^(-38) cm2
  10.26600:    1.21733732 x 10^(-38) cm2
  10.41600:    1.23421376 x 10^(-38) cm2
  10.56900:    1.25046670 x 10^(-38) cm2
  10.72400:    1.26633697 x 10^(-38) cm2
  10.88100:    1.28225262 x 10^(-38) cm2
  11.04100:    1.29868126 x 10^(-38) cm2
  11.20300:    1.31613212 x 10^(-38) cm2
  11.36700:    1.33504504 x 10^(-38) cm2
  11.53400:    1.35524955 x 10^(-38) cm2
  11.70300:    1.37631216 x 10^(-38) cm2
  11.87500:    1.39775751 x 10^(-38) cm2
  12.04900:    1.41906633 x 10^(-38) cm2
  12.22500:    1.43974501 x 10^(-38) cm2
  12.40500:    1.45977168 x 10^(-38) cm2
  12.58600:    1.47934692 x 10^(-38) cm2
  12.77100:    1.49869180 x 10^(-38) cm2
  12.95800:    1.51804852 x 10^(-38) cm2
  13.14800:    1.53766316 x 10^(-38) cm2
  13.34100:    1.55767688 x 10^(-38) cm2
  13.53700:    1.57819033 x 10^(-38) cm2
  13.73500:    1.59931236 x 10^(-38) cm2
  13.93700:    1.62116067 x 10^(-38) cm2
  14.14100:    1.64384133 x 10^(-38) cm2
  14.34800:    1.66726627 x 10^(-38) cm2
  14.55900:    1.69121643 x 10^(-38) cm2
  14.77200:    1.71544978 x 10^(-38) cm2
  14.98900:    1.73970194 x 10^(-38) cm2
  15.20800:    1.76371223 x 10^(-38) cm2
  15.43100:    1.78747284 x 10^(-38) cm2
  15.65800:    1.81116469 x 10^(-38) cm2
  15.88700:    1.83499235 x 10^(-38) cm2
  16.12000:    1.85917918 x 10^(-38) cm2
  16.35700:    1.88394996 x 10^(-38) cm2
  16.59700:    1.90936143 x 10^(-38) cm2
  16.84000:    1.93533477 x 10^(-38) cm2
  17.08700:    1.96177484 x 10^(-38) cm2
  17.33700:    1.98853883 x 10^(-38) cm2
  17.59200:    2.01561818 x 10^(-38) cm2
  17.84900:    2.04312425 x 10^(-38) cm2
  18.11100:    2.07130617 x 10^(-38) cm2
  18.37700:    2.10042047 x 10^(-38) cm2
  18.64600:    2.13074533 x 10^(-38) cm2
  18.92000:    2.16252740 x 10^(-38) cm2
  19.19700:    2.19549171 x 10^(-38) cm2
  19.47800:    2.22913370 x 10^(-38) cm2
  19.76400:    2.26295427 x 10^(-38) cm2
  20.05400:    2.29640924 x 10^(-38) cm2
  20.34800:    2.32897020 x 10^(-38) cm2
  20.64600:    2.36075959 x 10^(-38) cm2
  20.94900:    2.39228350 x 10^(-38) cm2
  21.25600:    2.42405288 x 10^(-38) cm2
  21.56800:    2.45662418 x 10^(-38) cm2
  21.88400:    2.49055480 x 10^(-38) cm2
  22.20500:    2.52588001 x 10^(-38) cm2
  22.53100:    2.56224235 x 10^(-38) cm2
  22.86100:    2.59921855 x 10^(-38) cm2
  23.19600:    2.63634439 x 10^(-38) cm2
  23.53600:    2.67315043 x 10^(-38) cm2
  23.88100:    2.70959130 x 10^(-38) cm2
  24.23200:    2.74599320 x 10^(-38) cm2
  24.58700:    2.78282878 x 10^(-38) cm2
  24.94700:    2.82062694 x 10^(-38) cm2
  25.31300:    2.85993027 x 10^(-38) cm2
  25.68400:    2.90088087 x 10^(-38) cm2
  26.06100:    2.94326906 x 10^(-38) cm2
  26.44300:    2.98672570 x 10^(-38) cm2
  26.83100:    3.03081720 x 10^(-38) cm2
  27.22400:    3.07509247 x 10^(-38) cm2
  27.62300:    3.11931561 x 10^(-38) cm2
  28.02800:    3.16372859 x 10^(-38) cm2
  28.43900:    3.20839954 x 10^(-38) cm2
  28.85600:    3.25349922 x 10^(-38) cm2
  29.27900:    3.29920450 x 10^(-38) cm2
  29.70900:    3.34556036 x 10^(-38) cm2
  30.14400:    3.39250369 x 10^(-38) cm2
  30.58600:    3.44004739 x 10^(-38) cm2
  31.03500:    3.48826156 x 10^(-38) cm2
  31.49000:    3.53722331 x 10^(-38) cm2
  31.95200:    3.58702256 x 10^(-38) cm2
  32.42000:    3.63775738 x 10^(-38) cm2
  32.89600:    3.68941032 x 10^(-38) cm2
  33.37800:    3.74182686 x 10^(-38) cm2
  33.86700:    3.79484173 x 10^(-38) cm2
  34.36400:    3.84847730 x 10^(-38) cm2
  34.86800:    3.90293954 x 10^(-38) cm2
  35.37900:    3.95852677 x 10^(-38) cm2
  35.89800:    4.01568613 x 10^(-38) cm2
  36.42400:    4.07489010 x 10^(-38) cm2
  36.95800:    4.13613271 x 10^(-38) cm2
  37.50000:    4.19891752 x 10^(-38) cm2
  38.05000:    4.26268588 x 10^(-38) cm2
  38.60800:    4.32683946 x 10^(-38) cm2
  39.17400:    4.39075388 x 10^(-38) cm2
  39.74800:    4.45432072 x 10^(-38) cm2
  40.33100:    4.51798812 x 10^(-38) cm2
  40.92300:    4.58223962 x 10^(-38) cm2
  41.52300:    4.64743879 x 10^(-38) cm2
  42.13100:    4.71391378 x 10^(-38) cm2
  42.74900:    4.78173302 x 10^(-38) cm2
