   0.90297:    1.70206167 x 10^(-38) cm2
   0.91621:    1.75405456 x 10^(-38) cm2
   0.92964:    1.80515314 x 10^(-38) cm2
   0.94328:    1.85894280 x 10^(-38) cm2
   0.95711:    1.91337701 x 10^(-38) cm2
   0.97114:    1.96805078 x 10^(-38) cm2
   0.98538:    2.02512098 x 10^(-38) cm2
   0.99983:    2.08649080 x 10^(-38) cm2
   1.01450:    2.14294501 x 10^(-38) cm2
   1.02940:    2.20501111 x 10^(-38) cm2
   1.04450:    2.26799576 x 10^(-38) cm2
   1.05980:    2.33133981 x 10^(-38) cm2
   1.07530:    2.39641886 x 10^(-38) cm2
   1.09110:    2.46496074 x 10^(-38) cm2
   1.10710:    2.53769385 x 10^(-38) cm2
   1.12330:    2.60504211 x 10^(-38) cm2
   1.13980:    2.68013125 x 10^(-38) cm2
   1.15650:    2.75302924 x 10^(-38) cm2
   1.17340:    2.82655528 x 10^(-38) cm2
   1.19070:    2.90612417 x 10^(-38) cm2
   1.20810:    2.97995060 x 10^(-38) cm2
   1.22580:    3.06155226 x 10^(-38) cm2
   1.24380:    3.13627003 x 10^(-38) cm2
   1.26200:    3.21501576 x 10^(-38) cm2
   1.28050:    3.30195723 x 10^(-38) cm2
   1.29930:    3.38189976 x 10^(-38) cm2
   1.31840:    3.46756618 x 10^(-38) cm2
   1.33770:    3.55231760 x 10^(-38) cm2
   1.35730:    3.63796726 x 10^(-38) cm2
   1.37720:    3.72747107 x 10^(-38) cm2
   1.39740:    3.81137662 x 10^(-38) cm2
   1.41790:    3.90293605 x 10^(-38) cm2
   1.43870:    3.99548372 x 10^(-38) cm2
   1.45980:    4.09038458 x 10^(-38) cm2
   1.48120:    4.18435018 x 10^(-38) cm2
   1.50290:    4.28260879 x 10^(-38) cm2
   1.52490:    4.37295280 x 10^(-38) cm2
   1.54730:    4.47584490 x 10^(-38) cm2
   1.57000:    4.57470070 x 10^(-38) cm2
   1.59300:    4.67065179 x 10^(-38) cm2
   1.61640:    4.76849169 x 10^(-38) cm2
